OBJECTID,GEOID,NAME,Total_Population,White_Total,Black_Total,AmerInd_AlaskaNat_Total,Asian_Total,NatHawaii_OthPI_Total,Some_Other_Race_Total,Two_or_More_Races_Total,WhiteNH_Total,POC_Total,Total_Under_18,White_Under_18,Black_Under_18,AmerInd_AlaskaNat_Under_18,Asian_Under_18,NatHawaii_OthPI_Under_18,Some_Other_Race_Under_18,Two_or_More_Races_Under_18,WhiteNH_Under_18,POC_Under_18,Total_65_and_Over,White_65_and_Over,Black_65_and_Over,AmerInd_AlaskaNat_65_and_Over,Asian_65_and_Over,NatHawaii_OthPI_65_and_Over,Some_Other_Race_65_and_Over,Two_or_More_Races_65_and_Over,WhiteNH_65_and_Over,POC_65_and_Over,Total_18_to_64,White_18_to_64,Black_18_to_64,AmerInd_AlaskaNat_18_to_64,Asian_18_to_64,NatHawaii_OthPI_18_to_64,Some_Other_Race_18_to_64,Two_or_More_Races_18_to_64,WhiteNH_18_to_64,POC_18_to_64,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
948,53033010502,"Census Tract 105.02, King County, Washington",5440,4320,146,34,167,0,0,773,4320,1120,649,471,0,0,0,0,0,178,471,178,893,892,1,0,0,0,0,0,892,1,3898,2957,145,34,167,0,0,595,2957,941,5Y20,105.02,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral"
949,53033010601,"Census Tract 106.01, King County, Washington",4368,3632,54,0,233,0,214,235,3495,873,565,438,0,0,12,0,0,115,438,127,620,575,0,0,45,0,0,0,575,45,3183,2619,54,0,176,0,214,120,2482,701,5Y20,106.01,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
950,53033010602,"Census Tract 106.02, King County, Washington",4243,3598,98,0,181,23,37,306,3555,688,622,489,38,0,7,23,0,65,478,144,619,556,0,0,63,0,0,0,556,63,3002,2553,60,0,111,0,37,241,2521,481,5Y20,106.02,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
951,53033010701,"Census Tract 107.01, King County, Washington",4267,1731,1098,0,732,8,212,486,1560,2707,946,182,461,0,98,0,17,188,182,764,364,94,70,0,79,0,94,27,94,270,2957,1455,567,0,555,8,101,271,1284,1673,5Y20,107.01,Seattle,2.2,2,High Point,"High Point, Delridge"
952,53033010702,"Census Tract 107.02, King County, Washington",4866,1800,1918,1,673,0,123,351,1723,3143,1548,318,887,0,223,0,29,91,263,1285,386,211,84,0,60,0,13,18,200,186,2932,1271,947,1,390,0,81,242,1260,1672,5Y20,107.02,Seattle,2.2,2,High Point,"High Point, Delridge"
953,53033010800,"Census Tract 108, King County, Washington",5159,2618,617,1,1163,40,90,630,2528,2631,1177,289,267,0,252,0,6,363,268,909,547,345,0,1,127,0,61,13,331,216,3435,1984,350,0,784,40,23,254,1929,1506,5Y20,108,Seattle,2.3,2,Riverview,"Riverview, Delridge"
954,53033010900,"Census Tract 109, King County, Washington",1070,763,51,3,96,20,21,116,673,397,115,45,0,0,36,0,7,27,32,83,119,92,15,0,5,0,7,0,82,37,836,626,36,3,55,20,7,89,559,277,5Y20,109,Seattle,3.2,3,Georgetown,Georgetown
955,53033011001,"Census Tract 110.01, King County, Washington",5439,832,2124,27,1958,0,158,340,766,4673,1309,80,852,0,230,0,26,121,42,1267,858,179,52,0,547,0,0,80,179,679,3272,573,1220,27,1181,0,132,139,545,2727,5Y20,110.01,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
956,53033011002,"Census Tract 110.02, King County, Washington",4348,437,1445,0,2310,0,72,84,380,3968,1203,29,741,0,397,0,23,13,11,1192,626,40,114,0,446,0,0,26,40,586,2519,368,590,0,1467,0,49,45,329,2190,5Y20,110.02,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
957,53033011101,"Census Tract 111.01, King County, Washington",5168,1361,1127,11,2019,138,110,402,1154,4014,778,80,305,10,305,0,0,78,69,709,728,130,190,0,360,48,0,0,130,598,3662,1151,632,1,1354,90,110,324,955,2707,5Y20,111.01,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City"
958,53033011102,"Census Tract 111.02, King County, Washington",5643,2866,765,0,1186,0,388,438,2738,2905,1265,602,46,0,320,0,182,115,589,676,755,466,101,0,131,0,0,57,466,289,3623,1798,618,0,735,0,206,266,1683,1940,5Y20,111.02,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City"
959,53033011200,"Census Tract 112, King County, Washington",3793,1503,336,276,825,51,504,298,1315,2478,907,215,124,87,180,0,171,130,185,722,490,247,65,50,105,0,9,14,234,256,2396,1041,147,139,540,51,324,154,896,1500,5Y20,112,Seattle,3.1,3,South Park,South Park
960,53033011300,"Census Tract 113, King County, Washington",6585,3486,408,126,814,369,553,829,3054,3531,1298,457,14,43,178,113,80,413,307,991,1176,834,93,20,144,0,42,43,779,397,4111,2195,301,63,492,256,431,373,1968,2143,5Y20,113,Seattle,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge"
961,53033011401,"Census Tract 114.01, King County, Washington",4881,2733,474,39,944,19,365,307,2618,2263,635,293,121,0,84,0,92,45,272,363,447,365,12,0,42,8,0,20,356,91,3799,2075,341,39,818,11,273,242,1990,1809,5Y20,114.01,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
962,53033011402,"Census Tract 114.02, King County, Washington",4411,1885,347,24,744,33,743,635,1586,2825,889,187,17,0,166,0,196,323,113,776,453,297,37,0,119,0,0,0,279,174,3069,1401,293,24,459,33,547,312,1194,1875,5Y20,114.02,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
963,53033011500,"Census Tract 115, King County, Washington",4464,3393,181,0,368,0,26,496,3264,1200,759,465,12,0,64,0,0,218,408,351,519,378,29,0,97,0,0,15,371,148,3186,2550,140,0,207,0,26,263,2485,701,5Y20,115,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
964,53033011601,"Census Tract 116.01, King County, Washington",3332,2854,46,0,187,0,0,245,2476,856,610,478,0,0,45,0,0,87,306,304,752,709,0,0,43,0,0,0,709,43,1970,1667,46,0,99,0,0,158,1461,509,5Y20,116.01,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
965,53033011602,"Census Tract 116.02, King County, Washington",3809,3588,80,5,80,0,0,56,3354,455,857,788,23,0,12,0,0,34,715,142,317,306,0,5,6,0,0,0,306,11,2635,2494,57,0,62,0,0,22,2333,302,5Y20,116.02,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
966,53033011700,"Census Tract 117, King County, Washington",5761,1016,1353,56,2831,0,151,354,877,4884,878,88,128,0,475,0,59,128,58,820,1124,239,315,22,518,0,22,8,201,923,3759,689,910,34,1838,0,70,218,618,3141,5Y20,117,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
967,53033011801,"Census Tract 118.01, King County, Washington",3569,896,391,0,1121,24,575,562,859,2710,731,112,125,0,100,0,222,172,112,619,317,35,21,0,261,0,0,0,35,282,2521,749,245,0,760,24,353,390,712,1809,5Y20,118.01,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
968,53033011802,"Census Tract 118.02, King County, Washington",4833,1100,2250,181,531,31,219,521,1065,3768,1309,71,879,0,66,0,174,119,71,1238,659,290,140,127,77,0,0,25,290,369,2865,739,1231,54,388,31,45,377,704,2161,5Y20,118.02,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
969,53033011901,"Census Tract 119.01, King County, Washington",4323,939,764,110,1892,0,239,379,899,3424,1013,85,223,54,540,0,0,111,85,928,641,207,71,0,200,0,161,2,207,434,2669,647,470,56,1152,0,78,266,607,2062,5Y20,119.01,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
970,53033011902,"Census Tract 119.02, King County, Washington",3552,1929,1037,25,470,0,0,91,1695,1857,612,186,380,0,21,0,0,25,150,462,548,303,76,0,169,0,0,0,289,259,2392,1440,581,25,280,0,0,66,1256,1136,5Y20,119.02,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
971,53033012000,"Census Tract 120, King County, Washington",3538,3140,128,0,68,0,36,166,2960,578,722,632,12,0,0,0,0,78,579,143,469,458,0,0,11,0,0,0,438,31,2347,2050,116,0,57,0,36,88,1943,404,5Y20,120,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo"
972,53033012100,"Census Tract 121, King County, Washington",2740,2320,33,12,159,0,37,179,2175,565,550,437,20,0,25,0,12,56,355,195,636,575,0,0,35,0,0,26,564,72,1554,1308,13,12,99,0,25,97,1256,298,5Y20,121,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo"
973,53033020100,"Census Tract 201, King County, Washington",3251,2553,18,72,490,0,18,100,2518,733,581,439,0,0,124,0,0,18,439,142,840,718,0,37,85,0,0,0,708,132,1830,1396,18,35,281,0,18,82,1371,459,5Y20,201,King County Balance,,,,
974,53033020200,"Census Tract 202, King County, Washington",5411,4456,226,16,466,0,0,247,4413,998,938,765,48,0,42,0,0,83,765,173,1410,1376,2,1,31,0,0,0,1352,58,3063,2315,176,15,393,0,0,164,2296,767,5Y20,202,King County Balance,,,,
975,53033020301,"Census Tract 203.01, King County, Washington",3619,2393,239,0,653,0,66,268,2080,1539,578,361,88,0,54,0,22,53,223,355,646,426,77,0,106,0,0,37,388,258,2395,1606,74,0,493,0,44,178,1469,926,5Y20,203.01,King County Balance,,,,
976,53033020302,"Census Tract 203.02, King County, Washington",3746,2475,258,0,430,212,0,371,2203,1543,644,351,10,0,64,97,0,122,220,424,924,747,8,0,169,0,0,0,747,177,2178,1377,240,0,197,115,0,249,1236,942,5Y20,203.02,King County Balance,,,,
977,53033020401,"Census Tract 204.01, King County, Washington",3821,2803,277,35,324,0,185,197,2710,1111,729,447,123,0,24,0,64,71,398,331,454,396,22,0,8,0,0,28,395,59,2638,1960,132,35,292,0,121,98,1917,721,5Y20,204.01,King County Balance,,,,
978,53033020402,"Census Tract 204.02, King County, Washington",5326,4057,133,53,530,0,297,256,3942,1384,1135,879,24,26,38,0,57,111,867,268,777,690,0,13,69,0,5,0,690,87,3414,2488,109,14,423,0,235,145,2385,1029,5Y20,204.02,King County Balance,,,,
979,53033020500,"Census Tract 205, King County, Washington",7372,4320,276,0,1434,0,606,736,4073,3299,1639,746,84,0,147,0,283,379,645,994,1237,798,24,0,408,0,0,7,794,443,4496,2776,168,0,879,0,323,350,2634,1862,5Y20,205,King County Balance,,,,
980,53033020600,"Census Tract 206, King County, Washington",3681,2049,469,0,905,0,22,236,1922,1759,772,433,107,0,138,0,0,94,408,364,591,373,0,0,186,0,11,21,373,218,2318,1243,362,0,581,0,11,121,1141,1177,5Y20,206,King County Balance,,,,
981,53033020700,"Census Tract 207, King County, Washington",4075,2205,564,0,614,24,372,296,1972,2103,781,235,205,0,132,0,124,85,217,564,502,337,28,0,78,0,31,28,305,197,2792,1633,331,0,404,24,217,183,1450,1342,5Y20,207,King County Balance,,,,
982,53033020800,"Census Tract 208, King County, Washington",4363,3643,128,0,353,0,88,151,3389,974,873,704,12,0,45,0,40,72,592,281,1013,858,82,0,66,0,0,7,858,155,2477,2081,34,0,242,0,48,72,1939,538,5Y20,208,King County Balance,,,,
983,53033020900,"Census Tract 209, King County, Washington",3422,2597,223,4,431,0,80,87,2581,841,699,537,27,0,54,0,37,44,524,175,799,719,5,0,71,0,0,4,716,83,1924,1341,191,4,306,0,43,39,1341,583,5Y20,209,King County Balance,,,,
984,53033021000,"Census Tract 210, King County, Washington",5887,3320,715,95,1233,39,66,419,3192,2695,1023,380,235,0,156,0,26,226,380,643,1289,846,98,0,298,27,0,20,845,444,3575,2094,382,95,779,12,40,173,1967,1608,5Y20,210,King County Balance,,,,
985,53033021100,"Census Tract 211, King County, Washington",4395,3160,182,6,770,11,77,189,3027,1368,727,500,79,0,100,0,0,48,478,249,773,646,0,0,107,5,15,0,636,137,2895,2014,103,6,563,6,62,141,1913,982,5Y20,211,King County Balance,,,,
986,53033021300,"Census Tract 213, King County, Washington",4189,2870,262,0,558,13,133,353,2669,1520,577,323,37,0,39,0,22,156,253,324,793,607,0,0,121,0,0,65,597,196,2819,1940,225,0,398,13,111,132,1819,1000,5Y20,213,King County Balance,,,,
987,53033021400,"Census Tract 214, King County, Washington",3868,3213,0,29,256,19,59,292,3169,699,884,676,0,29,18,0,0,161,676,208,720,703,0,0,17,0,0,0,703,17,2264,1834,0,0,221,19,59,131,1790,474,5Y20,214,King County Balance,,,,
988,53033021500,"Census Tract 215, King County, Washington",4658,3894,101,9,367,0,32,255,3684,974,1107,817,28,0,60,0,20,182,753,354,718,638,15,9,56,0,0,0,626,92,2833,2439,58,0,251,0,12,73,2305,528,5Y20,215,King County Balance,,,,
989,53033021600,"Census Tract 216, King County, Washington",5112,3884,68,20,685,107,59,289,3772,1340,953,726,4,0,100,0,11,112,726,227,1074,768,0,9,173,107,8,9,718,356,3085,2390,64,11,412,0,40,168,2328,757,5Y20,216,King County Balance,,,,
990,53033021701,"Census Tract 217.01, King County, Washington",4080,2996,0,13,834,0,63,174,2932,1148,934,642,0,0,200,0,0,92,642,292,361,355,0,0,6,0,0,0,355,6,2785,1999,0,13,628,0,63,82,1935,850,5Y20,217.01,King County Balance,,,,
