OBJECTID,GEOID,NAME,Total_Population,White_Total,Black_Total,AmerInd_AlaskaNat_Total,Asian_Total,NatHawaii_OthPI_Total,Some_Other_Race_Total,Two_or_More_Races_Total,WhiteNH_Total,POC_Total,Total_Under_18,White_Under_18,Black_Under_18,AmerInd_AlaskaNat_Under_18,Asian_Under_18,NatHawaii_OthPI_Under_18,Some_Other_Race_Under_18,Two_or_More_Races_Under_18,WhiteNH_Under_18,POC_Under_18,Total_65_and_Over,White_65_and_Over,Black_65_and_Over,AmerInd_AlaskaNat_65_and_Over,Asian_65_and_Over,NatHawaii_OthPI_65_and_Over,Some_Other_Race_65_and_Over,Two_or_More_Races_65_and_Over,WhiteNH_65_and_Over,POC_65_and_Over,Total_18_to_64,White_18_to_64,Black_18_to_64,AmerInd_AlaskaNat_18_to_64,Asian_18_to_64,NatHawaii_OthPI_18_to_64,Some_Other_Race_18_to_64,Two_or_More_Races_18_to_64,WhiteNH_18_to_64,POC_18_to_64,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
483,53033008200,"Census Tract 82, King County, Washington",3866,2716,300,0,710,0,32,108,2476,1390,61,30,16,0,15,0,0,0,12,49,795,743,52,0,0,0,0,0,743,52,3010,1943,232,0,695,0,32,108,1721,1289,5Y15,82,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
484,53033008300,"Census Tract 83, King County, Washington",2794,2223,85,46,325,8,39,68,2097,697,24,10,0,7,0,0,0,7,10,14,586,451,36,10,89,0,0,0,440,146,2184,1762,49,29,236,8,39,61,1647,537,5Y15,83,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
485,53033008400,"Census Tract 84, King County, Washington",4127,3083,236,23,580,43,70,92,2985,1142,198,67,131,0,0,0,0,0,67,131,404,343,8,0,53,0,0,0,343,61,3525,2673,97,23,527,43,70,92,2575,950,5Y15,84,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
486,53033008500,"Census Tract 85, King County, Washington",4311,2245,794,129,561,21,230,331,2069,2242,170,74,25,49,22,0,0,0,40,130,1004,748,93,0,158,2,3,0,743,261,3137,1423,676,80,381,19,227,331,1286,1851,5Y15,85,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
487,53033008600,"Census Tract 86, King County, Washington",4890,3094,378,26,806,13,167,406,2909,1981,184,65,50,11,0,0,4,54,65,119,247,14,51,0,161,0,0,21,14,233,4459,3015,277,15,645,13,163,331,2830,1629,5Y15,86,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
488,53033008700,"Census Tract 87, King County, Washington",4440,2453,907,33,340,0,188,519,2198,2242,587,199,229,16,11,0,1,131,171,416,274,79,109,0,77,0,0,9,79,195,3579,2175,569,17,252,0,187,379,1948,1631,5Y15,87,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park"
489,53033008800,"Census Tract 88, King County, Washington",3867,2585,533,15,248,11,189,286,2410,1457,673,434,73,10,0,4,56,96,413,260,259,48,167,0,44,0,0,0,36,223,2935,2103,293,5,204,7,133,190,1961,974,5Y15,88,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park"
490,53033008900,"Census Tract 89, King County, Washington",4686,2345,1052,40,470,0,38,741,2234,2452,789,210,171,19,0,0,0,389,210,579,816,331,312,0,141,0,9,23,331,485,3081,1804,569,21,329,0,29,329,1693,1388,5Y15,89,Seattle,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine"
491,53033009000,"Census Tract 90, King County, Washington",3478,1400,766,26,956,0,9,321,1316,2162,474,153,189,0,8,0,0,124,130,344,742,132,119,0,474,0,0,17,132,610,2262,1115,458,26,474,0,9,180,1054,1208,5Y15,90,Seattle,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic"
492,53033009100,"Census Tract 91, King County, Washington",2693,510,474,82,1465,0,0,162,433,2260,440,27,271,0,85,0,0,57,0,440,421,16,40,22,343,0,0,0,16,405,1832,467,163,60,1037,0,0,105,417,1415,5Y15,91,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District"
493,53033009200,"Census Tract 92, King County, Washington",2637,1350,296,141,719,0,63,68,1275,1362,139,71,0,0,65,0,0,3,71,68,523,149,23,13,333,0,5,0,137,386,1975,1130,273,128,321,0,58,65,1067,908,5Y15,92,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District"
494,53033009300,"Census Tract 93, King County, Washington",2832,1467,292,95,585,0,138,255,1326,1506,273,56,11,42,61,0,33,70,56,217,334,115,14,22,168,0,10,5,115,219,2225,1296,267,31,356,0,95,180,1155,1070,5Y15,93,Seattle,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square"
495,53033009400,"Census Tract 94, King County, Washington",5824,2006,653,89,2175,14,242,645,1878,3946,980,258,249,38,190,0,0,245,238,742,935,73,55,0,778,11,0,18,53,882,3909,1675,349,51,1207,3,242,382,1587,2322,5Y15,94,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park"
496,53033009500,"Census Tract 95, King County, Washington",6301,4060,1253,31,597,0,35,325,3890,2411,1266,715,283,0,126,0,1,141,680,586,834,396,369,0,64,0,0,5,396,438,4201,2949,601,31,407,0,34,179,2814,1387,5Y15,95,Seattle,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic"
497,53033009600,"Census Tract 96, King County, Washington",5342,4416,217,0,401,0,95,213,4340,1002,786,623,57,0,74,0,0,32,623,163,857,747,6,0,85,0,0,19,747,110,3699,3046,154,0,242,0,95,162,2970,729,5Y15,96,Seattle,1.4,1,Alki/Admiral,"Alki, Admiral"
498,53033009701,"Census Tract 97.01, King County, Washington",5751,5022,99,41,301,0,50,238,4834,917,936,772,0,12,0,0,31,121,709,227,941,917,0,0,24,0,0,0,917,24,3874,3333,99,29,277,0,19,117,3208,666,5Y15,97.01,Seattle,1.4,1,Alki/Admiral,"Alki, Admiral"
499,53033009702,"Census Tract 97.02, King County, Washington",5626,4968,32,27,200,0,54,345,4834,792,1356,1072,13,0,16,0,35,220,1027,329,731,668,0,3,46,0,0,14,668,63,3539,3228,19,24,138,0,19,111,3139,400,5Y15,97.02,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral"
500,53033009800,"Census Tract 98, King County, Washington",6902,5990,80,52,409,0,15,356,5786,1116,1584,1243,0,0,88,0,0,253,1223,361,734,734,0,0,0,0,0,0,734,0,4584,4013,80,52,321,0,15,103,3829,755,5Y15,98,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral"
501,53033009900,"Census Tract 99, King County, Washington",5054,3630,347,27,614,0,162,274,3300,1754,757,512,98,0,48,0,0,99,480,277,386,338,1,0,33,0,0,14,338,48,3911,2780,248,27,533,0,162,161,2482,1429,5Y15,99,Seattle,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island"
502,53033010001,"Census Tract 100.01, King County, Washington",4207,1315,1294,10,1327,0,31,230,1290,2917,1045,132,633,0,228,0,11,41,132,913,542,66,66,10,400,0,0,0,64,478,2620,1117,595,0,699,0,20,189,1094,1526,5Y15,100.01,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park"
503,53033010002,"Census Tract 100.02, King County, Washington",4763,2518,200,106,1439,12,164,324,1709,3054,832,397,14,0,282,0,29,110,198,634,446,149,42,0,227,0,0,28,99,347,3485,1972,144,106,930,12,135,186,1412,2073,5Y15,100.02,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park"
504,53033010100,"Census Tract 101, King County, Washington",6756,2991,2087,52,1046,20,147,413,2909,3847,1359,465,374,0,296,0,0,224,465,894,901,287,458,0,131,0,0,25,287,614,4496,2239,1255,52,619,20,147,164,2157,2339,5Y15,101,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City"
505,53033010200,"Census Tract 102, King County, Washington",4569,2959,537,3,797,0,14,259,2815,1754,917,590,51,0,178,0,0,98,558,359,674,330,145,0,165,0,0,34,269,405,2978,2039,341,3,454,0,14,127,1988,990,5Y15,102,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City"
506,53033010300,"Census Tract 103, King County, Washington",6371,2808,1482,63,1525,0,37,456,2393,3978,1030,261,398,37,172,0,13,149,215,815,686,353,78,0,172,0,0,83,316,370,4655,2194,1006,26,1181,0,24,224,1862,2793,5Y15,103,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City"
507,53033010401,"Census Tract 104.01, King County, Washington",4711,733,563,24,2991,0,121,279,722,3989,719,77,116,0,324,0,49,153,77,642,734,31,112,0,580,0,11,0,31,703,3258,625,335,24,2087,0,61,126,614,2644,5Y15,104.01,Seattle,3.5,3,Beacon Hill,Beacon Hill
508,53033010402,"Census Tract 104.02, King County, Washington",5218,1418,604,9,2706,0,232,249,1089,4129,832,263,158,0,273,0,59,79,143,689,657,126,0,0,531,0,0,0,126,531,3729,1029,446,9,1902,0,173,170,820,2909,5Y15,104.02,Seattle,3.5,3,Beacon Hill,Beacon Hill
509,53033010500,"Census Tract 105, King County, Washington",6631,5395,114,78,444,35,166,399,5231,1400,931,622,0,24,47,0,61,177,607,324,1096,973,25,11,87,0,0,0,970,126,4604,3800,89,43,310,35,105,222,3654,950,5Y15,105,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral"
510,53033010600,"Census Tract 106, King County, Washington",8079,6503,315,102,491,0,128,540,6177,1902,1533,1086,55,23,49,0,44,276,938,595,975,948,0,0,13,0,0,14,948,27,5571,4469,260,79,429,0,84,250,4291,1280,5Y15,106,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
511,53033010701,"Census Tract 107.01, King County, Washington",3700,1845,1139,0,404,119,91,102,1740,1960,916,240,547,0,46,41,0,42,189,727,161,80,51,0,30,0,0,0,80,81,2623,1525,541,0,328,78,91,60,1471,1152,5Y15,107.01,Seattle,2.2,2,High Point,"High Point, Delridge"
512,53033010702,"Census Tract 107.02, King County, Washington",4393,1496,1914,0,663,0,77,243,1263,3130,1465,229,923,0,211,0,0,102,109,1356,345,163,38,0,144,0,0,0,163,182,2583,1104,953,0,308,0,77,141,991,1592,5Y15,107.02,Seattle,2.2,2,High Point,"High Point, Delridge"
513,53033010800,"Census Tract 108, King County, Washington",4670,2383,463,46,1073,103,36,566,2228,2442,1078,350,179,24,112,63,0,350,279,799,409,175,17,0,200,0,17,0,164,245,3183,1858,267,22,761,40,19,216,1785,1398,5Y15,108,Seattle,2.3,2,Riverview,"Riverview, Delridge"
514,53033010900,"Census Tract 109, King County, Washington",1055,845,21,23,33,0,56,77,799,256,80,71,0,0,9,0,0,0,61,19,65,51,0,0,7,0,0,7,51,14,910,723,21,23,17,0,56,70,687,223,5Y15,109,Seattle,3.2,3,Georgetown,Georgetown
515,53033011001,"Census Tract 110.01, King County, Washington",4932,789,1725,0,2229,20,117,52,667,4265,1348,175,651,0,471,0,39,12,119,1229,688,161,209,0,318,0,0,0,151,537,2896,453,865,0,1440,20,78,40,397,2499,5Y15,110.01,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
516,53033011002,"Census Tract 110.02, King County, Washington",4722,374,1095,180,2885,38,0,150,277,4445,1406,91,642,92,518,0,0,63,22,1384,565,61,30,12,462,0,0,0,61,504,2751,222,423,76,1905,38,0,87,194,2557,5Y15,110.02,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
517,53033011101,"Census Tract 111.01, King County, Washington",5096,1285,1044,28,2365,44,10,320,947,4149,811,162,70,8,413,0,0,158,73,738,748,110,309,0,320,9,0,0,110,638,3537,1013,665,20,1632,35,10,162,764,2773,5Y15,111.01,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City"
518,53033011102,"Census Tract 111.02, King County, Washington",4681,2256,515,25,1136,0,394,355,1910,2771,1072,565,84,0,115,0,111,197,420,652,591,303,29,6,209,0,34,10,278,313,3018,1388,402,19,812,0,249,148,1212,1806,5Y15,111.02,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City"
519,53033011200,"Census Tract 112, King County, Washington",4174,2579,117,62,406,244,367,399,1486,2688,1416,831,36,33,54,119,117,226,214,1202,330,273,17,29,11,0,0,0,158,172,2428,1475,64,0,341,125,250,173,1114,1314,5Y15,112,Seattle,3.1,3,South Park,South Park
520,53033011300,"Census Tract 113, King County, Washington",6969,3849,325,15,1160,208,63,1349,3537,3432,1429,419,0,0,237,26,0,747,337,1092,1062,753,52,0,128,0,36,93,753,309,4478,2677,273,15,795,182,27,509,2447,2031,5Y15,113,Seattle,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge"
521,53033011401,"Census Tract 114.01, King County, Washington",4041,2313,584,0,559,27,179,379,1793,2248,681,298,101,0,73,0,28,181,113,568,169,122,14,0,33,0,0,0,122,47,3191,1893,469,0,453,27,151,198,1558,1633,5Y15,114.01,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
522,53033011402,"Census Tract 114.02, King County, Washington",4405,2479,647,80,588,139,202,270,1975,2430,904,431,252,28,67,0,56,70,304,600,603,346,79,16,162,0,0,0,333,270,2898,1702,316,36,359,139,146,200,1338,1560,5Y15,114.02,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
523,53033011500,"Census Tract 115, King County, Washington",4252,3231,196,54,346,0,217,208,3101,1151,740,528,54,19,59,0,36,44,509,231,415,333,26,0,19,0,13,24,322,93,3097,2370,116,35,268,0,168,140,2270,827,5Y15,115,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
524,53033011600,"Census Tract 116, King County, Washington",6570,5763,52,86,190,0,91,388,5681,889,1171,876,0,0,47,0,0,248,861,310,943,911,2,25,0,0,0,5,911,32,4456,3976,50,61,143,0,91,135,3909,547,5Y15,116,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
525,53033011700,"Census Tract 117, King County, Washington",5456,935,1348,27,2459,138,56,493,640,4816,1259,237,359,0,499,0,0,164,121,1138,693,90,143,11,372,20,13,44,90,603,3504,608,846,16,1588,118,43,285,429,3075,5Y15,117,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
526,53033011800,"Census Tract 118, King County, Washington",8010,2751,2688,146,1699,0,276,450,1535,6475,2143,593,745,103,347,0,104,251,112,2031,735,260,234,18,223,0,0,0,260,475,5132,1898,1709,25,1129,0,172,199,1163,3969,5Y15,118,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
527,53033011900,"Census Tract 119, King County, Washington",7428,1862,1539,0,2893,357,232,545,1774,5654,1679,164,225,0,526,261,159,344,164,1515,882,295,197,0,390,0,0,0,295,587,4867,1403,1117,0,1977,96,73,201,1315,3552,5Y15,119,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
528,53033012000,"Census Tract 120, King County, Washington",3474,2899,97,118,114,19,18,209,2835,639,813,624,58,27,8,19,0,77,606,207,329,276,0,20,33,0,0,0,247,82,2332,1999,39,71,73,0,18,132,1982,350,5Y15,120,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo"
529,53033012100,"Census Tract 121, King County, Washington",2853,2237,49,18,164,97,81,207,2191,662,567,377,24,0,9,53,19,85,368,199,544,483,0,12,36,0,0,13,483,61,1742,1377,25,6,119,44,62,109,1340,402,5Y15,121,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo"
530,53033020100,"Census Tract 201, King County, Washington",3127,2628,64,17,377,0,10,31,2556,571,563,476,0,6,81,0,0,0,461,102,931,732,17,0,168,0,0,14,699,232,1633,1420,47,11,128,0,10,17,1396,237,5Y15,201,King County Balance,,,,
531,53033020200,"Census Tract 202, King County, Washington",5536,4372,76,0,693,0,69,326,4145,1391,876,585,0,0,158,0,16,117,552,324,1512,1347,0,0,133,0,15,17,1319,193,3148,2440,76,0,402,0,38,192,2274,874,5Y15,202,King County Balance,,,,
532,53033020300,"Census Tract 203, King County, Washington",6823,4633,317,50,1163,32,317,311,4304,2519,1279,788,36,50,173,0,121,111,733,546,866,741,15,0,110,0,0,0,681,185,4678,3104,266,0,880,32,196,200,2890,1788,5Y15,203,King County Balance,,,,
533,53033020401,"Census Tract 204.01, King County, Washington",3525,2571,212,51,378,0,148,165,2540,985,666,486,0,0,45,0,55,80,479,187,399,328,43,11,9,0,0,8,318,81,2460,1757,169,40,324,0,93,77,1743,717,5Y15,204.01,King County Balance,,,,
534,53033020402,"Census Tract 204.02, King County, Washington",5600,4429,33,3,426,28,278,403,4193,1407,1219,939,3,0,95,0,0,182,849,370,917,803,2,0,112,0,0,0,752,165,3464,2687,28,3,219,28,278,221,2592,872,5Y15,204.02,King County Balance,,,,
535,53033020500,"Census Tract 205, King County, Washington",6119,4279,226,196,1003,26,99,290,3969,2150,1159,704,80,54,190,0,0,131,623,536,806,641,10,0,129,0,0,26,614,192,4154,2934,136,142,684,26,99,133,2732,1422,5Y15,205,King County Balance,,,,
536,53033020600,"Census Tract 206, King County, Washington",3612,2251,338,31,689,39,98,166,2145,1467,811,414,169,0,99,9,43,77,373,438,446,316,0,0,130,0,0,0,316,130,2355,1521,169,31,460,30,55,89,1456,899,5Y15,206,King County Balance,,,,
537,53033020700,"Census Tract 207, King County, Washington",3702,2562,241,9,488,0,295,107,2268,1434,758,361,74,0,96,0,151,76,249,509,476,444,15,0,17,0,0,0,414,62,2468,1757,152,9,375,0,144,31,1605,863,5Y15,207,King County Balance,,,,
538,53033020800,"Census Tract 208, King County, Washington",4225,3540,53,34,382,0,12,204,3458,767,809,623,2,16,48,0,0,120,613,196,942,910,0,0,32,0,0,0,910,32,2474,2007,51,18,302,0,12,84,1935,539,5Y15,208,King County Balance,,,,
539,53033020900,"Census Tract 209, King County, Washington",3682,2897,194,4,334,23,103,127,2784,898,550,400,19,1,34,0,45,51,392,158,684,628,23,0,14,0,0,19,628,56,2448,1869,152,3,286,23,58,57,1764,684,5Y15,209,King County Balance,,,,
540,53033021000,"Census Tract 210, King County, Washington",5686,3701,480,244,800,97,0,364,3332,2354,888,422,91,78,179,0,0,118,374,514,958,812,27,41,78,0,0,0,812,146,3840,2467,362,125,543,97,0,246,2146,1694,5Y15,210,King County Balance,,,,
541,53033021100,"Census Tract 211, King County, Washington",4531,2500,506,6,603,0,421,495,2491,2040,740,246,158,0,97,0,0,239,246,494,546,412,12,0,113,0,0,9,412,134,3245,1842,336,6,393,0,421,247,1833,1412,5Y15,211,King County Balance,,,,
542,53033021300,"Census Tract 213, King County, Washington",4026,3020,233,5,419,37,81,231,2927,1099,719,556,51,0,47,0,31,34,549,170,664,574,29,0,26,0,0,35,562,102,2643,1890,153,5,346,37,50,162,1816,827,5Y15,213,King County Balance,,,,
543,53033021400,"Census Tract 214, King County, Washington",4109,3519,131,2,138,0,10,309,3415,694,778,636,24,0,3,0,0,115,581,197,648,621,0,0,26,0,0,1,621,27,2683,2262,107,2,109,0,10,193,2213,470,5Y15,214,King County Balance,,,,
544,53033021500,"Census Tract 215, King County, Washington",4516,3860,131,4,318,8,23,172,3791,725,836,699,0,0,53,0,0,84,686,150,838,701,24,0,94,8,11,0,689,149,2842,2460,107,4,171,0,12,88,2416,426,5Y15,215,King County Balance,,,,
545,53033021600,"Census Tract 216, King County, Washington",4911,3895,184,20,470,23,69,250,3718,1193,1147,883,35,0,66,0,21,142,806,341,749,565,27,0,147,0,10,0,565,184,3015,2447,122,20,257,23,38,108,2347,668,5Y15,216,King County Balance,,,,
546,53033021700,"Census Tract 217, King County, Washington",8618,6361,200,46,1044,14,526,427,5566,3052,2209,1387,0,0,313,0,240,269,963,1246,900,856,0,0,44,0,0,0,856,44,5509,4118,200,46,687,14,286,158,3747,1762,5Y15,217,King County Balance,,,,
547,53033021802,"Census Tract 218.02, King County, Washington",5495,4185,74,51,1057,0,0,128,4010,1485,1524,1082,17,20,327,0,0,78,1055,469,424,385,0,0,39,0,0,0,385,39,3547,2718,57,31,691,0,0,50,2570,977,5Y15,218.02,King County Balance,,,,
548,53033021803,"Census Tract 218.03, King County, Washington",4694,3692,217,35,337,0,131,282,3541,1153,1025,619,95,14,97,0,23,177,534,491,635,553,0,15,43,0,0,24,553,82,3034,2520,122,6,197,0,108,81,2454,580,5Y15,218.03,King County Balance,,,,
549,53033021804,"Census Tract 218.04, King County, Washington",4684,3632,146,8,391,0,338,169,3371,1313,1106,752,44,0,66,0,174,70,677,429,549,471,8,0,48,0,0,22,471,78,3029,2409,94,8,277,0,164,77,2223,806,5Y15,218.04,King County Balance,,,,
550,53033021903,"Census Tract 219.03, King County, Washington",5787,4462,190,31,763,22,15,304,4095,1692,1248,813,34,31,212,0,15,143,658,590,1010,975,0,0,35,0,0,0,938,72,3529,2674,156,0,516,22,0,161,2499,1030,5Y15,219.03,King County Balance,,,,
551,53033021904,"Census Tract 219.04, King County, Washington",4993,3140,10,0,1507,0,147,189,2970,2023,1193,629,10,0,437,0,26,91,591,602,485,255,0,0,223,0,0,7,255,230,3315,2256,0,0,847,0,121,91,2124,1191,5Y15,219.04,King County Balance,,,,
552,53033021905,"Census Tract 219.05, King County, Washington",5501,4280,57,0,621,87,262,194,3906,1595,1019,757,30,0,139,0,61,32,654,365,659,611,0,0,22,0,23,3,611,48,3823,2912,27,0,460,87,178,159,2641,1182,5Y15,219.05,King County Balance,,,,
553,53033021906,"Census Tract 219.06, King County, Washington",4132,3210,30,0,463,79,45,305,3023,1109,1031,696,0,0,68,27,8,232,638,393,408,350,30,0,28,0,0,0,350,58,2693,2164,0,0,367,52,37,73,2035,658,5Y15,219.06,King County Balance,,,,
554,53033022001,"Census Tract 220.01, King County, Washington",5009,3982,28,9,533,0,19,438,3866,1143,1044,673,0,0,113,0,0,258,650,394,1108,1066,0,0,42,0,0,0,1039,69,2857,2243,28,9,378,0,19,180,2177,680,5Y15,220.01,King County Balance,,,,
555,53033022003,"Census Tract 220.03, King County, Washington",5038,4142,55,7,479,9,20,326,3730,1308,1092,838,0,0,92,0,0,162,708,384,520,493,0,0,27,0,0,0,477,43,3426,2811,55,7,360,9,20,164,2545,881,5Y15,220.03,King County Balance,,,,
556,53033022005,"Census Tract 220.05, King County, Washington",4891,3071,80,80,1157,0,152,351,2721,2170,891,503,0,40,205,0,0,143,373,518,443,391,12,10,30,0,0,0,391,52,3557,2177,68,30,922,0,152,208,1957,1600,5Y15,220.05,King County Balance,,,,
557,53033022006,"Census Tract 220.06, King County, Washington",3744,2967,54,0,545,0,11,167,2598,1146,769,572,11,0,80,0,0,106,429,340,629,446,7,0,167,0,0,9,420,209,2346,1949,36,0,298,0,11,52,1749,597,5Y15,220.06,King County Balance,,,,
558,53033022101,"Census Tract 221.01, King County, Washington",4740,4076,29,9,491,0,50,85,3923,817,992,840,13,0,90,0,12,37,754,238,777,726,0,0,38,0,0,13,715,62,2971,2510,16,9,363,0,38,35,2454,517,5Y15,221.01,King County Balance,,,,
559,53033022102,"Census Tract 221.02, King County, Washington",6331,4713,10,30,1177,0,45,356,4398,1933,1814,1231,0,0,391,0,0,192,1053,761,545,519,0,0,26,0,0,0,496,49,3972,2963,10,30,760,0,45,164,2849,1123,5Y15,221.02,King County Balance,,,,
560,53033022201,"Census Tract 222.01, King County, Washington",4483,3801,32,0,298,8,112,232,3714,769,1007,769,12,0,98,0,10,118,756,251,495,458,0,0,22,2,13,0,448,47,2981,2574,20,0,178,6,89,114,2510,471,5Y15,222.01,King County Balance,,,,
561,53033022202,"Census Tract 222.02, King County, Washington",7814,6218,165,106,794,0,161,370,5634,2180,1405,958,10,17,133,0,39,248,705,700,805,672,0,0,133,0,0,0,672,133,5604,4588,155,89,528,0,122,122,4257,1347,5Y15,222.02,King County Balance,,,,
562,53033022203,"Census Tract 222.03, King County, Washington",5030,4130,11,0,580,0,18,291,4051,979,1120,934,0,0,26,0,0,160,934,186,488,398,0,0,90,0,0,0,398,90,3422,2798,11,0,464,0,18,131,2719,703,5Y15,222.03,King County Balance,,,,
563,53033022300,"Census Tract 223, King County, Washington",2603,2136,23,0,233,7,78,126,2075,528,435,281,0,0,20,0,58,76,258,177,476,472,0,0,4,0,0,0,462,14,1692,1383,23,0,209,7,20,50,1355,337,5Y15,223,King County Balance,,,,
564,53033022400,"Census Tract 224, King County, Washington",8832,7327,115,20,901,0,114,355,7204,1628,2125,1727,23,0,132,0,48,195,1706,419,832,781,0,0,51,0,0,0,762,70,5875,4819,92,20,718,0,66,160,4736,1139,5Y15,224,King County Balance,,,,
565,53033022500,"Census Tract 225, King County, Washington",7290,6309,0,60,444,0,128,349,6147,1143,1242,1071,0,0,9,0,59,103,1055,187,1089,1024,0,0,23,0,0,42,1024,65,4959,4214,0,60,412,0,69,204,4068,891,5Y15,225,King County Balance,,,,
566,53033022603,"Census Tract 226.03, King County, Washington",5627,3785,63,26,1210,0,164,379,3646,1981,1196,745,0,0,216,0,37,198,702,494,640,533,17,26,63,0,0,1,517,123,3791,2507,46,0,931,0,127,180,2427,1364,5Y15,226.03,King County Balance,,,,
567,53033022604,"Census Tract 226.04, King County, Washington",4532,3452,138,0,644,14,0,284,3241,1291,1026,653,41,0,169,0,0,163,569,457,414,364,22,0,20,8,0,0,351,63,3092,2435,75,0,455,6,0,121,2321,771,5Y15,226.04,King County Balance,,,,
568,53033022605,"Census Tract 226.05, King County, Washington",6162,3930,111,39,1273,0,658,151,3175,2987,1136,793,0,0,174,0,85,84,498,638,285,265,0,0,20,0,0,0,265,20,4741,2872,111,39,1079,0,573,67,2412,2329,5Y15,226.05,King County Balance,,,,
569,53033022606,"Census Tract 226.06, King County, Washington",5981,4546,127,16,1182,0,19,91,3774,2207,1162,735,33,0,359,0,0,35,557,605,770,740,0,0,30,0,0,0,740,30,4049,3071,94,16,793,0,19,56,2477,1572,5Y15,226.06,King County Balance,,,,
570,53033022701,"Census Tract 227.01, King County, Washington",2506,2065,13,0,373,0,8,47,1947,559,328,259,0,0,45,0,0,24,259,69,505,489,0,0,8,0,8,0,466,39,1673,1317,13,0,320,0,0,23,1222,451,5Y15,227.01,King County Balance,,,,
571,53033022702,"Census Tract 227.02, King County, Washington",3827,3114,31,0,432,31,0,219,3009,818,653,452,0,0,76,22,0,103,420,233,516,487,0,0,29,0,0,0,487,29,2658,2175,31,0,327,9,0,116,2102,556,5Y15,227.02,King County Balance,,,,
572,53033022703,"Census Tract 227.03, King County, Washington",2273,1839,51,0,278,0,11,94,1750,523,530,404,0,0,76,0,0,50,372,158,345,301,3,0,37,0,0,4,284,61,1398,1134,48,0,165,0,11,40,1094,304,5Y15,227.03,King County Balance,,,,
